epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.825,1.36857,1.36371,1.68735,0.34559,0.30189,0.25605,0.08473,2.70793,2.91896,3.39633,0.0701107,0.00332103,0.00332103
2,160.742,1.42354,1.21042,1.70006,0.73403,0.73552,0.78196,0.45156,1.43352,1.51443,2.0064,0.0400668,0.00661045,0.00661045
3,237.338,1.2896,1.01946,1.5853,0.50422,0.53774,0.49287,0.21959,2.03634,1.70431,2.48809,0.00997886,0.00985586,0.00985586
4,314.106,1.20761,0.92195,1.53579,0.86283,0.86043,0.92382,0.57826,1.19852,0.85657,1.73975,0.009802,0.009802,0.009802
5,390.736,1.1187,0.83056,1.45832,0.90255,0.75236,0.87669,0.54198,1.31351,0.94258,1.83778,0.009736,0.009736,0.009736
6,464.738,1.06733,0.77497,1.41863,0.90682,0.91274,0.93771,0.57275,1.24266,0.84137,1.76498,0.00967,0.00967,0.00967
7,540.294,1.02861,0.74521,1.40343,0.91215,0.90603,0.93439,0.5046,1.47045,0.73612,2.06093,0.009604,0.009604,0.009604
8,617.382,0.99328,0.72374,1.36952,0.86262,0.92689,0.94272,0.62337,1.08154,0.77784,1.60988,0.009538,0.009538,0.009538
9,693.245,0.97715,0.70192,1.35237,0.91507,0.88935,0.94685,0.63491,1.14651,0.68733,1.64464,0.009472,0.009472,0.009472
10,769.977,0.93835,0.67366,1.33051,0.93518,0.91509,0.94795,0.65677,1.03566,0.61149,1.563,0.009406,0.009406,0.009406
11,845.075,0.92071,0.64804,1.32325,0.91914,0.875,0.94442,0.64075,1.06976,0.65115,1.60063,0.00934,0.00934,0.00934
12,919.759,0.90618,0.63325,1.31181,0.88899,0.86881,0.94162,0.68748,0.9744,0.70239,1.51538,0.009274,0.009274,0.009274
13,995.937,0.88537,0.60584,1.29801,0.93603,0.9316,0.96407,0.67201,1.07286,0.59716,1.5822,0.009208,0.009208,0.009208
14,1069.93,0.87182,0.59758,1.28845,0.91094,0.94078,0.95962,0.6126,1.17725,0.5931,1.6898,0.009142,0.009142,0.009142
15,1144.66,0.868,0.59536,1.28059,0.95378,0.91745,0.95084,0.67503,1.00895,0.55956,1.58546,0.009076,0.009076,0.009076
16,1220.7,0.85213,0.58402,1.27429,0.94576,0.95047,0.96576,0.6839,1.029,0.52152,1.55568,0.00901,0.00901,0.00901
17,1295.37,0.83148,0.56514,1.25741,0.90381,0.95519,0.95982,0.69174,0.97157,0.54868,1.52472,0.008944,0.008944,0.008944
18,1369.74,0.818,0.56,1.25012,0.94698,0.92666,0.96743,0.72389,0.88837,0.50491,1.47437,0.008878,0.008878,0.008878
19,1445.66,0.81535,0.55359,1.24343,0.94793,0.94104,0.96342,0.69384,0.97029,0.50066,1.56389,0.008812,0.008812,0.008812
20,1520.22,0.81001,0.5425,1.24082,0.96968,0.93396,0.97203,0.72108,0.90439,0.48839,1.48955,0.008746,0.008746,0.008746
21,1595.3,0.80202,0.54411,1.23928,0.91295,0.93992,0.9561,0.726,0.86725,0.52434,1.46574,0.00868,0.00868,0.00868
